Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Sexo;Unidades de medida;Total
Total Nacional;17 Rioja, La;26 Rioja, La;Mujeres;Personas;161.681
Total Nacional;18 Ceuta;;Ambos sexos;Personas;84.071
Total Nacional;18 Ceuta;;Hombres;Personas;42.536
Total Nacional;18 Ceuta;;Mujeres;Personas;41.535
Total Nacional;18 Ceuta;51 Ceuta;Ambos sexos;Personas;84.071
Total Nacional;18 Ceuta;51 Ceuta;Hombres;Personas;42.536
Total Nacional;18 Ceuta;51 Ceuta;Mujeres;Personas;41.535
Total Nacional;19 Melilla;;Ambos sexos;Personas;86.450
Total Nacional;19 Melilla;;Hombres;Personas;43.823
Total Nacional;19 Melilla;;Mujeres;Personas;42.627
Total Nacional;19 Melilla;52 Melilla;Ambos sexos;Personas;86.450
Total Nacional;19 Melilla;52 Melilla;Hombres;Personas;43.823
Total Nacional;19 Melilla;52 Melilla;Mujeres;Personas;42.627
